model,target,metric,aggregation_unit,n_repeats,mean,std,se,ci95_low,ci95_high
Ridge polynomial Optuna,Solid_Yield_pct,mae,répétition OOF complète,5,2.8541109980290305,0.01088289298456241,0.0048669777010674235,2.840598101613795,2.867623894444266
Ridge polynomial Optuna,Solid_Yield_pct,rmse,répétition OOF complète,5,3.578681784645357,0.012172999253888506,0.005443930764349784,3.5635670097216425,3.5937965595690717
Ridge polynomial Optuna,Solid_Yield_pct,r2,répétition OOF complète,5,0.2614082004455791,0.005020393521361787,0.0022451882375128995,0.25517455855328874,0.2676418423378695
Sélection automatique par sortie,Br2_pct,mae,répétition OOF complète,5,0.02023822867762676,7.766664810734684e-05,3.473358095051658e-05,0.020141792796810706,0.020334664558442815
Sélection automatique par sortie,Br2_pct,rmse,répétition OOF complète,5,0.025957472084843364,7.954119540978163e-05,3.5571903989573196e-05,0.025858708646128947,0.02605623552355778
Sélection automatique par sortie,Br2_pct,r2,répétition OOF complète,5,0.861584075544951,0.0008465634091894863,0.0003785946660423323,0.8605329282375638,0.8626352228523382
Sélection automatique par sortie,Cl2_pct,mae,répétition OOF complète,5,0.01319678759748992,6.72800254081526e-05,3.008854206810845e-05,0.013113248412142382,0.013280326782837458
Sélection automatique par sortie,Cl2_pct,rmse,répétition OOF complète,5,0.017367083366661658,8.029606974106887e-05,3.5909494053418786e-05,0.017267382627666913,0.017466784105656403
Sélection automatique par sortie,Cl2_pct,r2,répétition OOF complète,5,0.8315245008688905,0.0015591337750562163,0.0006972658214083131,0.8295885805920197,0.8334604211457614
Sélection automatique par sortie,Gas_Yield_pct,mae,répétition OOF complète,5,1.5873420118132684,0.010700231872830304,0.0047852891685316885,1.5740559191243426,1.6006281045021942
Sélection automatique par sortie,Gas_Yield_pct,rmse,répétition OOF complète,5,1.9683665699599413,0.01155536678906736,0.005167717129059618,1.954018687031917,1.9827144528879657
Sélection automatique par sortie,Gas_Yield_pct,r2,répétition OOF complète,5,0.1626579445076736,0.009866503658539165,0.004412434576148789,0.15040706212671978,0.1749088268886274
Sélection automatique par sortie,HBr_pct,mae,répétition OOF complète,5,0.26415185167162136,0.0012455842583757619,0.0005570422146863731,0.2626052545412668,0.2656984488019759
Sélection automatique par sortie,HBr_pct,rmse,répétition OOF complète,5,0.34048791343988605,0.0022274016184003218,0.000996124286387233,0.3377222290407776,0.3432535978389945
Sélection automatique par sortie,HBr_pct,r2,répétition OOF complète,5,0.8853744161895227,0.0014980959646062595,0.000669968882735543,0.8835142843644168,0.8872345480146286
Sélection automatique par sortie,HCl_pct,mae,répétition OOF complète,5,0.040393816416156234,0.00018108967431942303,8.098576436030557e-05,0.04016896388710736,0.040618668945205105
Sélection automatique par sortie,HCl_pct,rmse,répétition OOF complète,5,0.052784352077718866,0.00018231477025666337,8.153364391923122e-05,0.052557978391150374,0.05301072576428736
Sélection automatique par sortie,HCl_pct,r2,répétition OOF complète,5,0.8381285381265944,0.0011195215436064093,0.0005006652547558852,0.8367384685306848,0.839518607722504
Sélection automatique par sortie,HF_pct,mae,répétition OOF complète,5,0.0050782641363668595,3.8504731870914136e-05,1.7219839583753332e-05,0.005030454197042256,0.005126074075691463
Sélection automatique par sortie,HF_pct,rmse,répétition OOF complète,5,0.00650777310363108,3.058134617601625e-05,1.3676393778605115e-05,0.006469801347067714,0.006545744860194446
Sélection automatique par sortie,HF_pct,r2,répétition OOF complète,5,0.6825197980259992,0.0029759757785216456,0.0013308968280334515,0.6788246360422824,0.6862149600097159
Sélection automatique par sortie,Liquid_Yield_pct,mae,répétition OOF complète,5,2.4407393777305373,0.010060066725750202,0.004498998611392237,2.428248155057646,2.4532306004034288
Sélection automatique par sortie,Liquid_Yield_pct,rmse,répétition OOF complète,5,3.0350476760720224,0.008317904499994975,0.0037198799784680324,3.0247196335138815,3.0453757186301633
Sélection automatique par sortie,Liquid_Yield_pct,r2,répétition OOF complète,5,0.1764814817174762,0.004519687406846911,0.002021265655751888,0.17086954858125947,0.18209341485369296
Sélection automatique par sortie,Solid_Yield_pct,mae,répétition OOF complète,5,2.8571379500760132,0.015099686946151375,0.0067527852901121364,2.8383892124108296,2.875886687741197
Sélection automatique par sortie,Solid_Yield_pct,rmse,répétition OOF complète,5,3.583033788627477,0.019606648678594636,0.008768359851258806,3.5586889188378366,3.6073786584171175
Sélection automatique par sortie,Solid_Yield_pct,r2,répétition OOF complète,5,0.2595998353704375,0.008114473426865916,0.0036289028368175712,0.249524385851917,0.26967528488895803
