scenario_id,Concentration_liquide_chimique_kg,Temperature_C,Temps_reaction_min,Heating_rate_C_min,Taille_particules_mm,Solid_Yield_pct,Liquid_Yield_pct,Gas_Yield_pct,HBr_pct,Br2_pct,HCl_pct,Cl2_pct,HF_pct,Toxicity_Index_pct,Valuable_Yield_pct,model,pareto_nondominated
1,54.279510299457264,495.5897657953791,12.32995230575728,22.908087493629495,3.5,25.21812989974212,55.01070125045829,19.771168849799587,2.4622116991629195,0.1667931827579303,0.27861887521918133,0.07408851702923037,0.0280306480727671,3.0097429222420287,74.78187010025788,Sélection automatique par sortie,False
2,58.57248615850936,512.5403851018673,20.145733802246177,14.037273963529318,1.3370359331758443,25.042673688611536,56.00715205626753,18.950174255120935,2.9117580987283294,0.20168721056514285,0.3641636394963662,0.09672761861787624,0.030285835549139557,3.604622402956854,74.95732631138847,Sélection automatique par sortie,False
3,49.259693139807375,508.97651253024065,24.827916051373915,15.589529708232144,3.3152924153195102,25.425088321057494,55.6455052699842,18.929406408958315,2.7134559191223566,0.18243201469647566,0.3286754192150222,0.08647399652069043,0.028344920557901873,3.339382270112447,74.57491167894251,Sélection automatique par sortie,False
4,46.80053871157609,510.5344185694993,14.243041394042844,12.586576612276534,3.14,25.277858626373884,56.02679843569492,18.695342937931194,2.609465118676641,0.18167786979159214,0.32141658548827645,0.08562377184079044,0.028651514201460487,3.226834859998761,74.72214137362612,Sélection automatique par sortie,False
5,41.724071584246,373.0729845232428,23.23361263011718,9.47,3.223700132712061,31.900240239531886,51.81076090029194,16.28899886017617,0.8361695015091912,0.05509996362628808,0.10061957935436269,0.008776571468247618,0.010529497968824202,1.0111951139269137,68.09975976046812,Sélection automatique par sortie,False
6,27.293356088825476,541.1208741465568,17.10525608079438,24.39,2.090749722613971,20.484253490189165,58.60624363898641,20.909502870824404,2.6980461033327536,0.18079919134341194,0.3475166177468103,0.08819102980147281,0.027379999161456198,3.3419329413859047,79.51574650981081,Sélection automatique par sortie,True
7,62.32055888386908,487.24805131435903,19.239598737501392,21.85,2.3921369352015036,25.88224601895773,54.68481167425319,19.432942306789098,2.507646737470084,0.17075564699199114,0.28566803018365977,0.07811455243962802,0.02682195605855495,3.069006923143918,74.11775398104228,Sélection automatique par sortie,False
8,60.88733829665503,521.080176291614,19.545008093367834,8.24463381121883,2.67,25.89886104097142,55.762737957066875,18.3384010019617,3.0181527092509732,0.2103513632792566,0.37886712548255963,0.10361228808897388,0.032757931505591045,3.7437414176073545,74.10113895902857,Sélection automatique par sortie,False
9,63.67113955605768,516.1338356144482,29.44792528730829,17.42,1.4,24.970037954929605,55.81214645112664,19.217815593943754,3.10131875796373,0.21405355971937,0.39990489982121735,0.1031038679731537,0.03306166768568646,3.8514427531631577,75.02996204507039,Sélection automatique par sortie,False
10,36.28668487433408,511.34264007501565,15.86344988927736,14.174456809018592,1.53,23.853121958590656,56.95545069196119,19.191427349448166,2.5348884946757306,0.174537008194177,0.32189442563085957,0.08248573694135743,0.026885712241000025,3.1406913776831242,76.14687804140935,Sélection automatique par sortie,False
11,59.36409264547321,463.462917725299,22.52311073176383,24.95205491668462,1.91,26.362514794767545,54.38889099279833,19.24859421243414,2.1467817122780803,0.1468777074661696,0.26812052653697294,0.06421055066056106,0.023397957863058195,2.6493884548048423,73.63748520523247,Sélection automatique par sortie,False
12,35.502501990332405,501.92313894042735,17.25152622615787,10.122920760143447,1.16,24.97493908819986,57.047018463968854,17.97804244783129,2.465108046400308,0.17058763607934635,0.3036790012645103,0.07913019797006113,0.025706968192149137,3.0442118499063744,75.02506091180014,Sélection automatique par sortie,False
13,26.2,395.7344604574055,29.78070015871961,9.201628527609648,2.26,30.1028429346322,53.60657868836926,16.290578376998532,1.1770031361686912,0.06955574963360728,0.12461749147567837,0.015959939254295306,0.009728252394823758,1.3968645689270958,69.8971570653678,Sélection automatique par sortie,False
