model,input,input_value,normalized_level,Solid_Yield_pct,Liquid_Yield_pct,Gas_Yield_pct,HBr_pct,Br2_pct,HCl_pct,Cl2_pct,HF_pct,Toxicity_Index_pct,Valuable_Yield_pct
Sélection automatique par sortie,Concentration_liquide_chimique_kg,20.948999999999998,0.0,25.80725116426243,56.17491057442657,18.01783826131101,1.7285805726864552,0.1126169294412006,0.23168340857665198,0.04592687825122524,0.017091413857546645,2.1358992028130794,74.19274883573758
Sélection automatique par sortie,Concentration_liquide_chimique_kg,22.62513333333333,0.03333333333333333,25.88194733224274,56.053717670001454,18.064334997755807,1.7420199158437053,0.11381775583339507,0.23256700876555,0.046563950797144905,0.01732883238622754,2.152297463626023,74.11805266775727
Sélection automatique par sortie,Concentration_liquide_chimique_kg,24.301266666666663,0.06666666666666667,25.956579578783376,55.93262847671896,18.110791944497684,1.755459259000955,0.11501858222558956,0.23345060895444805,0.04720102334306457,0.01756625091490843,2.1686957244389657,74.04342042121664
Sélection automatique par sortie,Concentration_liquide_chimique_kg,25.9774,0.1,26.031147985900635,55.811642861509355,18.157209152589992,1.768898602158205,0.11621940861778404,0.23433420914334607,0.04783809588898423,0.01781791963769324,2.1851082354460125,73.96885201409935
Sélection automatique par sortie,Concentration_liquide_chimique_kg,27.653533333333332,0.13333333333333333,26.105652635470616,55.69076069153056,18.203586672998814,1.7823379453154549,0.11742023500997853,0.23521780933224412,0.0484751684349039,0.018055338166374134,2.2015064962589554,73.89434736452938
Sélection automatique par sortie,Concentration_liquide_chimique_kg,29.329666666666665,0.16666666666666666,26.180093609229402,55.569981834167514,18.249924556603084,1.795777288472705,0.11862106140217303,0.23610140952114217,0.04911224098082356,0.018292756695055024,2.2179047570718984,73.8199063907706
Sélection automatique par sortie,Concentration_liquide_chimique_kg,31.0058,0.2,26.25447098877346,55.449306157031714,18.296222854194824,1.8092166316299547,0.11982188779436753,0.2369850097100402,0.04974931352674322,0.01857825719715017,2.2343510998582556,73.74552901122654
Sélection automatique par sortie,Concentration_liquide_chimique_kg,32.68193333333333,0.23333333333333334,26.32878485555989,55.3287335279608,18.342481616479304,1.8226559747872046,0.121022714186562,0.238900964892212,0.05038638607266289,0.018886821381765968,2.2518528613204074,73.67121514444011
Sélection automatique par sortie,Concentration_liquide_chimique_kg,34.358066666666666,0.26666666666666666,26.403035290906743,55.208263815018014,18.38870089407524,1.8360953179444546,0.12222354057875649,0.23978456508111,0.05102345861858255,0.019108489946404825,2.2682353721693085,73.59696470909326
Sélection automatique par sortie,Concentration_liquide_chimique_kg,36.0342,0.3,26.477222375993303,55.08789688649174,18.43488073751496,1.8495346611017043,0.123424366970951,0.24438732014789855,0.051660531164502206,0.019345908475085716,2.2883527878601417,73.5227776240067
