variable,n,mean,std,minimum,q05,median,q95,maximum
Concentration_liquide_chimique_kg,2500,46.821698933439095,13.8407598977283,20.96370073319816,23.63927806031006,48.30031825634852,67.27910544550556,71.23
Temperature_C,2500,454.2839430424068,50.602724903976316,355.43702794555173,368.52550301085387,457.1671230141055,534.4598133966679,551.1400373681175
Temps_reaction_min,2500,20.568305875071783,4.912564848327266,11.321819187331828,12.774218902817701,20.50610390715944,28.67059919540594,30.666481907090045
Heating_rate_C_min,2500,16.832071221152884,5.113912855313542,6.770061798770794,8.799411781282492,16.555273482953556,25.298223287996915,27.951635065591535
Taille_particules_mm,2500,2.368398141262408,0.8658362132594021,0.570035927302981,0.95,2.37,3.806623200191357,4.2
Solid_Yield_pct,2500,27.134684216693234,2.552678561247003,20.211471468486288,22.950705862151768,27.100532377868134,31.266171371736295,33.47875471766977
Liquid_Yield_pct,2500,54.53216521938485,1.793024122878522,49.700925724589254,51.48174527656183,54.620602192335866,57.391354210997534,59.07929700744264
Gas_Yield_pct,2500,18.333150563921915,1.0333288473568145,15.268153446178475,16.620282482431705,18.31410973405456,20.046174828427393,21.20526233362094
HBr_pct,2500,1.931170845631462,0.6988394592377827,0.5684314279593408,0.8236303539409436,1.9320791791543481,3.099653159994218,3.6518016613325797
Br2_pct,2500,0.13178641557562823,0.047595155491368925,0.04152972909531377,0.05622445289432855,0.13172363243103494,0.21124704527629704,0.2544940048253184
HCl_pct,2500,0.23601210210990434,0.08867403208806758,0.055974677729377115,0.10121910769144211,0.24078682864290143,0.3877161243459933,0.45506733979930614
Cl2_pct,2500,0.05528685861458803,0.028375104186030477,0.0017437830406785218,0.010602084047252137,0.055429114885049056,0.10276669588342836,0.1277589965792642
HF_pct,2500,0.0209816793086867,0.00672966238723497,0.006876020765228356,0.010759792004186437,0.020779830550790093,0.03259455324375231,0.039042090030568716
Toxicity_Index_pct,2500,2.3752379012402693,0.8689177262167188,0.699441148146987,0.9996331213767065,2.3804061447824565,3.8258838600238585,4.516615872279621
Valuable_Yield_pct,2500,72.86531578330677,2.552678561247003,66.52124528233023,68.73382862826371,72.89946762213185,77.04929413784824,79.78852853151372
