scenario_id,Concentration_liquide_chimique_kg,Temperature_C,Temps_reaction_min,Heating_rate_C_min,Taille_particules_mm,Solid_Yield_pct,Liquid_Yield_pct,Gas_Yield_pct,HBr_pct,Br2_pct,HCl_pct,Cl2_pct,HF_pct,Toxicity_Index_pct,Valuable_Yield_pct,model,pareto_nondominated
1658,54.94625952422426,357.4597868090022,28.885780168010346,11.327354706337898,2.76,32.79814262765137,50.708763068000785,16.493094304347842,0.5684314279593408,0.04152972909531377,0.0755815817419763,0.0017437830406785218,0.012154626309677528,0.699441148146987,67.20185737234863,Sélection automatique par sortie,True
2309,59.465871761482965,357.56283657940133,28.83092376231038,15.160842515708133,1.84,32.11385055364757,50.76307086878683,17.123078577565586,0.5895124724319007,0.04576248477006094,0.08434097973833013,0.005509441591090548,0.013376259121187322,0.7385016376525697,67.88614944635242,Sélection automatique par sortie,True
880,63.64502611126853,355.5610946700841,24.039662888562898,18.33,1.82,32.10219968311554,50.74928481020477,17.148515506679686,0.6128392968745913,0.046115396625976135,0.0922927486282836,0.006926693529684655,0.012461973360844848,0.7706361090193806,67.89780031688446,Sélection automatique par sortie,True
1014,55.33,359.6776709575412,24.14467285982246,26.39,3.24,31.164248947735132,51.01706259484993,17.818688457414947,0.6400785664615722,0.048138103868217666,0.07790849328054536,0.008142702858365443,0.0106286451693688,0.7848965116380696,68.83575105226488,Sélection automatique par sortie,True
1901,52.79464001939424,355.7791050508109,23.99343261721576,20.434074584596342,1.8147816135496062,31.203450238829415,51.49013428740976,17.306415473760815,0.6356702021868303,0.046442812399404884,0.09186627655628779,0.006788455107605312,0.010351493028828535,0.7911192392789568,68.79654976117058,Sélection automatique par sortie,True
2164,36.02961036501835,360.1177173837099,26.47,21.953476837799922,3.151143385069838,30.419216466465336,52.441492361743116,17.139291171791534,0.6587353190443201,0.04746607643282397,0.0716832129034922,0.005383019412458889,0.009667025099730464,0.7929346528928257,69.58078353353466,Sélection automatique par sortie,True
2289,33.29,357.53274504402464,19.53731139574111,10.72,3.14,31.911159965672404,52.06963772325113,16.019202311076477,0.6852025485265651,0.04464590174632661,0.07363572208994967,0.002468791444242356,0.008895589255840546,0.8148485530629244,68.0888400343276,Sélection automatique par sortie,True
2267,29.96362614175913,355.94189701462517,16.611856193747215,18.200478638862542,2.09,30.20672240128324,52.867015559292646,16.926262039424117,0.6810479060931256,0.04543704822764856,0.082834491993796,0.005105961408231725,0.008982921573855883,0.8234083292966577,69.79327759871677,Sélection automatique par sortie,True
2008,21.132512611672485,362.0258855356346,23.45,21.187243224288526,3.18,29.62100022137135,53.50961781179656,16.869381966832076,0.6971107663200649,0.04653206721476341,0.06982984872753253,0.0048095778832113675,0.00802020140782485,0.826302461553397,70.37899977862864,Sélection automatique par sortie,True
281,28.09,356.8960407009683,22.2,20.412403508941033,1.55,29.533647580387814,53.309666098930364,17.156686320681814,0.6887822274986659,0.04711814329340211,0.07997952123635635,0.005863842280775022,0.008315344383405532,0.8300590786926049,70.46635241961218,Sélection automatique par sortie,True
1437,30.529612778338887,363.21839421034974,16.45,25.447563123484827,2.718540328330578,29.114330157397138,52.74732241490566,18.138347427697187,0.7061622375466019,0.046892608144903467,0.07671444987164855,0.007671608372117077,0.009430449310861842,0.8468713532461328,70.88566984260285,Sélection automatique par sortie,True
1723,30.130196454578957,366.4287732810712,23.081247969208526,21.85,1.98,29.211797569056007,53.342250756499936,17.445951674444064,0.7682916333442378,0.052686558646589166,0.0901309775895357,0.009460437520092575,0.009206825710208765,0.9297764328106641,70.788202430944,Sélection automatique par sortie,True
